Harry Potter and the Philosopher's Stone,J.K. Rowling,899
A Game of Thrones,George R.R. Martin,1099
The Shining,Stephen King,799
To Kill a Mockingbird,Harper Lee,699
The Da Vinci Code,Dan Brown,949
The Firm,John Grisham,749
Murder on the Orient Express,Agatha Christie,649
The Hobbit,J.R.R. Tolkien,899
Adventures of Huckleberry Finn,Mark Twain,549
Wuthering Heights,Emily Bronte,749
Great Expectations,Charles Dickens,849
Pride and Prejudice,Jane Austen,599
The Great Gatsby,F. Scott Fitzgerald,799
War and Peace,Leo Tolstoy,899
The Old Man and the Sea,Ernest Hemingway,699
Mrs. Dalloway,Virginia Woolf,749
Sherlock Holmes: The Complete Novels and Stories,Arthur Conan Doyle,649
Moby-Dick,Herman Melville,849
Hamlet,William Shakespeare,499
The Picture of Dorian Gray,Oscar Wilde,749
1984,George Orwell,599
The Catcher in the Rye,J.D. Salinger,799
Brave New World,Aldous Huxley,699
The Lord of the Rings,J.R.R. Tolkien,1499
The Chronicles of Narnia,C.S. Lewis,999
The Hunger Games,Suzanne Collins,899
Gone Girl,Gillian Flynn,799
The Kite Runner,Khaled Hosseini,699
The Alchemist,Paulo Coelho,599
The Girl with the Dragon Tattoo,Stieg Larsson,899
The Odyssey,Homer,799
The Count of Monte Cristo,Alexandre Dumas,999
Alice's Adventures in Wonderland,Lewis Carroll,699
The Divine Comedy,Dante Alighieri,899
The Color Purple,Alice Walker,799
Fahrenheit 451,Ray Bradbury,699
The Adventures of Tom Sawyer,Mark Twain,599
The Secret Garden,Frances Hodgson Burnett,799
Pippi Longstocking,Astrid Lindgren,699
Anna Karenina,Leo Tolstoy,899
The Fault in Our Stars,John Green,799
The Book Thief,Markus Zusak,699
Les Misérables,Victor Hugo,999
The Handmaid's Tale,Margaret Atwood,899
The Hobbit and The Lord of the Rings Boxed Set,J.R.R. Tolkien,1999
The Diary of a Young Girl,Anne Frank,799
Crime and Punishment,Fyodor Dostoevsky,899
The Adventures of Sherlock Holmes,Arthur Conan Doyle,699
One Hundred Years of Solitude,Gabriel Garcia Marquez,799
Frankenstein,Mary Shelley,699
Slaughterhouse-Five,Kurt Vonnegut,899
